"function_name","target","stored_formula","display_text","value","parse_status","operation_error"
"IRR","Sheet1!H9","=IRR(1)","#NUM!","-2146826252","recognized_or_runtime_error",
"ISEVEN","Sheet1!H10","=ISEVEN(1)","FALSE","False","recognized_or_runtime_error",
"ISFORMULA","Sheet1!H11","","",,"operation_rejected","0x800A03EC"
"ISO.CEILING","Sheet1!H12","=ISO.CEILING(1)","1","1","recognized_or_runtime_error",
"ISOMITTED","Sheet1!H13","=ISOMITTED(1)","FALSE","False","recognized_or_runtime_error",
"ISOWEEKNUM","Sheet1!H14","=ISOWEEKNUM(1)","52","52","recognized_or_runtime_error",
"ISPMT","Sheet1!H15","","",,"operation_rejected","0x800A03EC"
"JIS","Sheet1!H16","=JIS(1)","#NAME?","-2146826259","name_error",
"KURT","Sheet1!H17","=KURT(1)","#DIV/0!","-2146826281","recognized_or_runtime_error",
"LAMBDA","Sheet1!H18","=LAMBDA(1)","#CALC!","-2146826238","recognized_or_runtime_error",
"LARGE","Sheet1!H19","","",,"operation_rejected","0x800A03EC"
"LCM","Sheet1!H20","=LCM(1)","1","1","recognized_or_runtime_error",
"LEFT, LEFTB","Sheet1!H21","","",,"operation_rejected","0x800A03EC"
"LEN, LENB","Sheet1!H22","","",,"operation_rejected","0x800A03EC"
"LET","Sheet1!H23","","",,"operation_rejected","0x800A03EC"
"LINEST","Sheet1!H24","=LINEST(1)","0","0","recognized_or_runtime_error",
"LN","Sheet1!H25","=LN(1)","0","0","recognized_or_runtime_error",
"LOG","Sheet1!H26","=LOG(1)","0","0","recognized_or_runtime_error",
"LOG10","Sheet1!H27","=LOG10(1)","0","0","recognized_or_runtime_error",
"LOGEST","Sheet1!H28","=LOGEST(1)","1","1","recognized_or_runtime_error",
"LOGINV","Sheet1!H29","","",,"operation_rejected","0x800A03EC"
"LOGNORM.DIST","Sheet1!H30","","",,"operation_rejected","0x800A03EC"
"LOGNORM.INV","Sheet1!H31","","",,"operation_rejected","0x800A03EC"
"LOGNORMDIST","Sheet1!H32","","",,"operation_rejected","0x800A03EC"
"LOOKUP","Sheet1!H33","","",,"operation_rejected","0x800A03EC"
"LOWER","Sheet1!H34","=LOWER(1)","1","1","recognized_or_runtime_error",
"MAKEARRAY","Sheet1!H35","","",,"operation_rejected","0x800A03EC"
"MAP","Sheet1!H36","","",,"operation_rejected","0x800A03EC"
"MATCH","Sheet1!H37","","",,"operation_rejected","0x800A03EC"
"MAX","Sheet1!H38","=MAX(1)","1","1","recognized_or_runtime_error",
"MAXA","Sheet1!H39","=MAXA(1)","1","1","recognized_or_runtime_error",
"MAXIFS","Sheet1!H40","","",,"operation_rejected","0x800A03EC"
"MDETERM","Sheet1!I1","=MDETERM(1)","1","1","recognized_or_runtime_error",
"MDURATION","Sheet1!I2","","",,"operation_rejected","0x800A03EC"
"MEDIAN","Sheet1!I3","=MEDIAN(1)","1","1","recognized_or_runtime_error",
"MID, MIDB","Sheet1!I4","","",,"operation_rejected","0x800A03EC"
"MIN","Sheet1!I5","=MIN(1)","1","1","recognized_or_runtime_error",
"MINA","Sheet1!I6","=MINA(1)","1","1","recognized_or_runtime_error",
"MINIFS","Sheet1!I7","","",,"operation_rejected","0x800A03EC"
"MINUTE","Sheet1!I8","=MINUTE(1)","0","0","recognized_or_runtime_error",
"MINVERSE","Sheet1!I9","=MINVERSE(1)","1","1","recognized_or_runtime_error",
"MIRR","Sheet1!I10","","",,"operation_rejected","0x800A03EC"
"MMULT","Sheet1!I11","","",,"operation_rejected","0x800A03EC"
"MOD","Sheet1!I12","","",,"operation_rejected","0x800A03EC"
"MODE","Sheet1!I13","=MODE(1)","#N/A","-2146826246","recognized_or_runtime_error",
"MODE.MULT","Sheet1!I14","=MODE.MULT(1)","#N/A","-2146826246","recognized_or_runtime_error",
"MODE.SNGL","Sheet1!I15","=MODE.SNGL(1)","#N/A","-2146826246","recognized_or_runtime_error",
"MONTH","Sheet1!I16","=MONTH(1)","1","1","recognized_or_runtime_error",
"MROUND","Sheet1!I17","","",,"operation_rejected","0x800A03EC"
"MULTINOMIAL","Sheet1!I18","=MULTINOMIAL(1)","1","1","recognized_or_runtime_error",
"MUNIT","Sheet1!I19","=MUNIT(1)","1","1","recognized_or_runtime_error",
"N","Sheet1!I20","=N(1)","1","1","recognized_or_runtime_error",
"NA","Sheet1!I21","","",,"operation_rejected","0x800A03EC"
"NEGBINOM.DIST","Sheet1!I22","","",,"operation_rejected","0x800A03EC"
"NEGBINOMDIST","Sheet1!I23","","",,"operation_rejected","0x800A03EC"
"NETWORKDAYS","Sheet1!I24","","",,"operation_rejected","0x800A03EC"
"NETWORKDAYS.INTL","Sheet1!I25","","",,"operation_rejected","0x800A03EC"
"NOMINAL","Sheet1!I26","","",,"operation_rejected","0x800A03EC"
"NORM.DIST","Sheet1!I27","","",,"operation_rejected","0x800A03EC"
"NORM.INV","Sheet1!I28","","",,"operation_rejected","0x800A03EC"
"NORM.S.DIST","Sheet1!I29","","",,"operation_rejected","0x800A03EC"
"NORM.S.INV","Sheet1!I30","=NORM.S.INV(1)","#NUM!","-2146826252","recognized_or_runtime_error",
"NORMDIST","Sheet1!I31","","",,"operation_rejected","0x800A03EC"
"NORMINV","Sheet1!I32","","",,"operation_rejected","0x800A03EC"
"NORMSDIST","Sheet1!I33","=NORMSDIST(1)","0.841345","0.841344746068543","recognized_or_runtime_error",
"NORMSINV","Sheet1!I34","=NORMSINV(1)","#NUM!","-2146826252","recognized_or_runtime_error",
"NOT","Sheet1!I35","=NOT(1)","FALSE","False","recognized_or_runtime_error",
"NOW","Sheet1!I36","","",,"operation_rejected","0x800A03EC"
"NPER","Sheet1!I37","","",,"operation_rejected","0x800A03EC"
"NPV","Sheet1!I38","","",,"operation_rejected","0x800A03EC"
"NUMBERVALUE","Sheet1!I39","=NUMBERVALUE(1)","1","1","recognized_or_runtime_error",
"OCT2BIN","Sheet1!I40","=OCT2BIN(1)","1","1","recognized_or_runtime_error",
"OCT2DEC","Sheet1!J1","=OCT2DEC(1)","1","1","recognized_or_runtime_error",
"OCT2HEX","Sheet1!J2","=OCT2HEX(1)","1","1","recognized_or_runtime_error",
"ODD","Sheet1!J3","=ODD(1)","1","1","recognized_or_runtime_error",
"ODDFPRICE","Sheet1!J4","","",,"operation_rejected","0x800A03EC"
"ODDFYIELD","Sheet1!J5","","",,"operation_rejected","0x800A03EC"
"ODDLPRICE","Sheet1!J6","","",,"operation_rejected","0x800A03EC"
"ODDLYIELD","Sheet1!J7","","",,"operation_rejected","0x800A03EC"
"OFFSET","Sheet1!J8","","",,"operation_rejected","0x800A03EC"
"OR","Sheet1!J9","=OR(1)","TRUE","True","recognized_or_runtime_error",
"PDURATION","Sheet1!J10","","",,"operation_rejected","0x800A03EC"
"PEARSON","Sheet1!J11","","",,"operation_rejected","0x800A03EC"
