"name","full_name","html_url","description","language","stargazers_count","forks_count","open_issues_count","created_at","updated_at","pushed_at","archived","default_branch"
"ppx_pattern_bind","janestreet/ppx_pattern_bind","https://github.com/janestreet/ppx_pattern_bind","A ppx for writing fast incremental bind nodes in a pattern match","OCaml","8","2","0","2019/06/21 08:35:18","2026/01/14 01:07:30","2026/01/15 21:39:38","False","master"
"ppx_yojson_conv","janestreet/ppx_yojson_conv","https://github.com/janestreet/ppx_yojson_conv","[@@​deriving] plugin to generate Yojson conversion functions","OCaml","70","10","16","2019/07/15 16:15:38","2026/01/14 01:07:31","2026/01/15 21:40:24","False","master"
"ppx_python","janestreet/ppx_python","https://github.com/janestreet/ppx_python","ARCHIVED. [@@deriving] plugin to generate Python conversion functions","OCaml","34","5","0","2019/07/26 14:36:34","2025/04/08 13:04:30","2024/11/21 20:33:10","True","master"
"pythonlib","janestreet/pythonlib","https://github.com/janestreet/pythonlib","A library to help writing wrappers around ocaml code for python","OCaml","97","12","12","2019/07/31 11:49:24","2026/02/13 12:01:15","2024/07/30 06:37:55","True","master"
"ppx_yojson_conv_lib","janestreet/ppx_yojson_conv_lib","https://github.com/janestreet/ppx_yojson_conv_lib","Runtime lib for ppx_yojson_conv","OCaml","5","5","1","2019/09/04 08:32:42","2026/01/14 01:07:32","2026/01/15 21:40:26","False","master"
"noise-wireguard-ocaml","janestreet/noise-wireguard-ocaml","https://github.com/janestreet/noise-wireguard-ocaml","An implementation of the Noise Protocol, intended to be used as the base for a Wireguard implementation in OCaml.","OCaml","28","2","0","2019/09/28 00:06:33","2025/07/16 12:40:42","2020/02/11 15:35:48","False","master"
"zarith_stubs_js","janestreet/zarith_stubs_js","https://github.com/janestreet/zarith_stubs_js","Javascripts stubs for the Zarith library","OCaml","22","11","3","2019/10/10 08:40:29","2026/01/14 01:07:40","2026/01/15 21:42:14","False","master"
"async_udp","janestreet/async_udp","https://github.com/janestreet/async_udp","Jane Street Capital's asynchronous execution library (UDP)","OCaml","13","1","0","2019/10/25 15:26:15","2026/01/14 01:07:17","2026/01/15 21:33:44","False","master"
"animation","janestreet/animation","https://github.com/janestreet/animation",,,"1","1","0","2019/10/29 18:56:04","2021/12/17 03:01:45","2019/10/30 16:55:11","False","master"
"bonsai","janestreet/bonsai","https://github.com/janestreet/bonsai","A library for building dynamic webapps, using Js_of_ocaml","OCaml","639","44","9","2019/11/18 11:14:17","2026/02/20 13:58:20","2026/01/15 21:34:12","False","master"
"timezone","janestreet/timezone","https://github.com/janestreet/timezone","Time-zone handling","OCaml","12","2","0","2019/11/18 11:15:00","2026/01/14 01:07:36","2026/01/15 21:41:30","False","master"
"ppx_fixed_literal","janestreet/ppx_fixed_literal","https://github.com/janestreet/ppx_fixed_literal","Simpler notation for fixed point literals","OCaml","4","1","0","2019/11/22 10:38:48","2026/01/14 01:07:28","2026/01/15 21:39:01","False","master"
"incr_dom_sexp_form","janestreet/incr_dom_sexp_form","https://github.com/janestreet/incr_dom_sexp_form","A library for building forms that allow the user to edit complicated types","OCaml","3","2","0","2019/11/22 10:38:51","2026/01/14 01:07:23","2026/01/15 21:36:27","False","master"
"incr_dom_interactive","janestreet/incr_dom_interactive","https://github.com/janestreet/incr_dom_interactive","A monad for composing chains of interactive UI elements","OCaml","7","2","0","2019/11/22 10:38:53","2026/01/14 01:07:22","2026/01/15 21:36:24","False","master"
"vcaml","janestreet/vcaml","https://github.com/janestreet/vcaml","OCaml bindings for the Neovim API","OCaml","171","5","0","2019/12/03 15:00:13","2026/02/15 15:32:56","2026/01/15 21:42:01","False","master"
"ppx_log","janestreet/ppx_log","https://github.com/janestreet/ppx_log","Ppx_sexp_message-like extension nodes for lazily rendering log messages","OCaml","14","2","0","2020/01/31 09:33:20","2026/01/14 01:07:30","2026/01/15 21:39:31","False","master"
"accessor_core","janestreet/accessor_core","https://github.com/janestreet/accessor_core","Accessors for Core types, for use with the Accessor library","OCaml","3","1","0","2020/02/17 13:10:48","2026/01/14 01:07:16","2026/01/15 21:33:13","False","master"
"accessor_base","janestreet/accessor_base","https://github.com/janestreet/accessor_base","Accessors for Base types, for use with the Accessor library","OCaml","5","1","0","2020/02/17 13:10:52","2026/01/14 01:07:16","2026/01/15 21:33:11","False","master"
"accessor","janestreet/accessor","https://github.com/janestreet/accessor","A library that makes it nicer to work with nested functional data structures","OCaml","61","2","0","2020/02/17 13:10:56","2026/01/14 01:07:15","2026/01/15 21:33:08","False","master"
"higher_kinded","janestreet/higher_kinded","https://github.com/janestreet/higher_kinded","A library with an encoding of higher kinded types in OCaml","OCaml","43","2","0","2020/02/17 13:10:59","2026/01/19 06:50:56","2026/01/15 21:36:19","False","master"
"accessor_async","janestreet/accessor_async","https://github.com/janestreet/accessor_async","Accessors for Async types, for use with the Accessor library","OCaml","3","1","0","2020/02/17 13:11:03","2026/01/14 01:07:16","2026/01/15 21:33:09","False","master"
"ppx_accessor","janestreet/ppx_accessor","https://github.com/janestreet/ppx_accessor","[@@​deriving] plugin to generate accessors for use with the Accessor libraries","OCaml","9","4","0","2020/02/17 13:11:06","2026/01/14 01:07:27","2026/01/15 21:38:06","False","master"
"memtrace","janestreet/memtrace","https://github.com/janestreet/memtrace","Streaming client for OCaml's Memprof","OCaml","74","18","5","2020/02/24 17:14:40","2026/02/20 13:58:41","2026/01/15 21:37:06","False","master"
